Count,Unit Format 1,Carry Fee Percentage,SQ FT,Year,Carrying Charge,NCB Loan,2019 One Time SA,2022 SA #1,2022 SA #1 
347,S0433,0.001129677,426,2003,266,null,null,null,TBD
348,S0436,0.001129677,426,2003,266,null,null,null,TBD
349,S0439,0.001129677,426,2003,266,null,null,null,TBD
350,S0442,0.001129677,426,2003,270,null,null,null,TBD
351,S0445,0.001129677,426,2003,275,null,null,null,TBD
352,S0448,0.001129677,426,2003,275,null,null,null,TBD
353,S0527,0.001129677,426,2003,285,null,null,null,TBD
354,S0530,0.001129677,426,2003,285,null,null,null,TBD
355,S0533,0.001129677,426,2003,269,null,null,null,TBD
356,S0536,0.001129677,426,2003,269,null,null,null,TBD
357,S0539,0.001129677,426,2003,269,null,null,null,TBD
358,S0542,0.001129677,426,2003,264,null,null,null,TBD
359,S0545,0.001129677,426,2003,285,null,null,null,TBD
360,S0548,0.001129677,426,2003,285,null,null,null,TBD
361,S0627,0.001129677,426,2003,289,null,null,null,TBD
362,S0630,0.001129677,426,2003,289,null,null,null,TBD
363,S0633,0.001129677,426,2003,275,null,null,null,TBD
364,S0636,0.001129677,426,2003,275,null,null,null,TBD
365,S0639,0.001129677,426,2003,275,null,null,null,TBD
366,S0642,0.001129677,426,2003,275,null,null,null,TBD
367,S0645,0.001129677,426,2003,289,null,null,null,TBD
368,S0648,0.001129677,426,2003,289,null,null,null,TBD
369,S0727,0.001129677,426,2003,293,null,null,null,TBD
370,S0730,0.001129677,426,2003,293,null,null,null,TBD
371,S0733,0.001129677,426,2003,285,null,null,null,TBD
372,S0736,0.001129677,426,2003,285,null,null,null,TBD
373,S0739,0.001129677,426,2003,285,null,null,null,TBD
374,S0742,0.001129677,426,2003,285,null,null,null,TBD
375,S0745,0.001129677,426,2003,293,null,null,null,TBD
376,S0748,0.001129677,426,2003,293,null,null,null,TBD
377,S0827,0.001129677,426,2003,297,null,null,null,TBD
378,S0830,0.001129677,426,2003,295,null,null,null,TBD
379,S0833,0.001129677,426,2003,291,null,null,null,TBD
380,S0836,0.001129677,426,2003,289,null,null,null,TBD
381,S0839,0.001129677,426,2003,289,null,null,null,TBD
382,S0842,0.001129677,426,2003,289,null,null,null,TBD
383,S0845,0.001129677,426,2003,295,null,null,null,TBD
384,S0848,0.001129677,426,2003,295,null,null,null,TBD
385,T1320,0.002139352,1287,2003,517,null,null,null,TBD
386,T1324,0.002139352,1287,2003,517,null,null,null,TBD
387,T1338,0.002139352,1287,2003,517,null,null,null,TBD
388,T1340,0.002139352,1287,2003,517,null,null,null,TBD
389,T1346,0.002139352,1287,2003,517,null,null,null,TBD
390,T1348,0.002139352,1287,2003,517,null,null,null,TBD
391,T290,0.002139352,1287,2003,517,null,null,null,TBD
392,T300,0.002139352,1287,2003,517,null,null,null,TBD
393,T302,0.002139352,1287,2003,517,null,null,null,TBD
394,T304,0.002139352,1287,2003,517,null,null,null,TBD
395,T310,0.002139352,1287,2003,517,null,null,null,TBD
396,T312,0.002139352,1287,2003,517,null,null,null,TBD
397,T374,0.002139352,1287,2003,517,null,null,null,TBD
398,T378,0.002139352,1287,2003,517,null,null,null,TBD
399,T1318,0.002793157,1625,2003,675,null,null,null,TBD
400,T1326,0.002793157,1625,2003,675,null,null,null,TBD
401,T1332,0.002793157,1625,2003,675,null,null,null,TBD
402,T1334,0.002793157,1625,2003,675,null,null,null,TBD
403,T1342,0.002793157,1625,2003,675,null,null,null,TBD
404,T1336,0.002793157,1625,2003,675,null,null,null,TBD
405,T1344,0.002793157,1625,2003,675,null,null,null,TBD
406,T1350,0.002793157,1625,2003,675,null,null,null,TBD
407,T1352,0.002793157,1625,2003,675,null,null,null,TBD
408,T1354,0.002793157,1625,2003,675,null,null,null,TBD
409,T288,0.002793157,1625,2003,675,null,null,null,TBD
410,T292,0.002793157,1625,2003,675,null,null,null,TBD
411,T298,0.002793157,1625,2003,675,null,null,null,TBD
412,T306,0.002793157,1625,2003,675,null,null,null,TBD
413,T308,0.002793157,1625,2003,675,null,null,null,TBD
414,T314,0.002793157,1625,2003,675,null,null,null,TBD
415,T372,0.002793157,1625,2003,675,null,null,null,TBD
416,T380,0.002793157,1625,2003,675,null,null,null,TBD
417,T1360,0.003041438,1665,2003,735,null,null,null,TBD
418,T1366,0.003041438,1665,2003,735,null,null,null,TBD
419,T341,0.003041438,1665,2003,735,null,null,null,TBD
420,T335,0.003041438,1665,2003,735,null,null,null,TBD
421,T344,0.003041438,1665,2003,735,null,null,null,TBD
422,T346,0.003041438,1665,2003,735,null,null,null,TBD
423,T348,0.003041438,1665,2003,735,null,null,null,TBD
424,T350,0.003041438,1665,2003,735,null,null,null,TBD
425,T361,0.003041438,1665,2003,735,null,null,null,TBD
426,T360,0.003041438,1665,2003,735,null,null,null,TBD
427,T362,0.003041438,1665,2003,735,null,null,null,TBD
428,T1302,0.003041438,1665,2003,735,null,null,null,TBD
429,T1304,0.003041438,1665,2003,735,null,null,null,TBD
430,T1310,0.003041438,1665,2003,735,null,null,null,TBD
431,T1312,0.003041438,1665,2003,735,null,null,null,TBD
432,T1372,0.003041438,1665,2003,735,null,null,null,TBD
433,T1382,0.003041438,1665,2003,735,null,null,null,TBD
434,T320,0.003041438,1665,2003,735,null,null,null,TBD
435,T322,0.003041438,1665,2003,735,null,null,null,TBD
436,T328,0.003041438,1665,2003,735,null,null,null,TBD
437,T330,0.003041438,1665,2003,735,null,null,null,TBD
438,T336,0.003041438,1665,2003,735,null,null,null,TBD
439,T338,0.003041438,1665,2003,735,null,null,null,TBD
440,T349,0.003041438,1665,2003,735,null,null,null,TBD
441,T351,0.003041438,1665,2003,735,null,null,null,TBD
442,T363,0.003041438,1665,2003,735,null,null,null,TBD
443,T371,0.003041438,1665,2003,735,null,null,null,TBD
444,T373,0.003041438,1665,2003,735,null,null,null,TBD
445,T379,0.003041438,1665,2003,735,null,null,null,TBD
446,T381,0.003041438,1665,2003,735,null,null,null,TBD
447,T386,0.003041438,1665,2003,735,null,null,null,TBD
448,T387,0.003041438,1665,2003,735,null,null,null,TBD
449,T388,0.003041438,1665,2003,735,null,null,null,TBD
450,T394,0.003041438,1665,2003,735,null,null,null,TBD
451,T396,0.003041438,1665,2003,735,null,null,null,TBD
452,T397,0.003041438,1665,2003,735,null,null,null,TBD
453,T1306,0.002602809,1266,2003,629,null,null,null,TBD
454,T1308,0.002602809,1266,2003,629,null,null,null,TBD
455,T1362,0.002602809,1266,2003,629,null,null,null,TBD
456,T1364,0.002602809,1266,2003,629,null,null,null,TBD
457,T1374,0.002602809,1266,2003,629,null,null,null,TBD
458,T1376,0.002602809,1266,2003,629,null,null,null,TBD
459,T1378,0.002602809,1266,2003,629,null,null,null,TBD
460,T1380,0.002602809,1266,2003,629,null,null,null,TBD
461,T324,0.002602809,1266,2003,629,null,null,null,TBD
462,T326,0.002602809,1266,2003,629,null,null,null,TBD
463,T332,0.002602809,1266,2003,629,null,null,null,TBD
464,T334,0.002602809,1266,2003,629,null,null,null,TBD
465,T337,0.002602809,1266,2003,629,null,null,null,TBD
466,T339,0.002602809,1266,2003,629,null,null,null,TBD
467,T347,0.002602809,1266,2003,629,null,null,null,TBD
468,T352,0.002602809,1266,2003,629,null,null,null,TBD
469,T353,0.002602809,1266,2003,629,null,null,null,TBD
470,T354,0.002602809,1266,2003,629,null,null,null,TBD
471,T355,0.002602809,1266,2003,629,null,null,null,TBD
